Year,Sex,Age,Value
25,2,7,8000.686782380541
25,2,8,12855.859178038547
25,2,9,17845.965695887917
25,2,10,25469.052560659296
25,2,11,38139.91296001815
25,2,12,53090.29310902122
25,2,13,68964.77536897692
25,2,14,82170.71941508385
26,0,0,524322.1080389455
26,0,1,537939.3994268215
26,0,2,541825.6672275122
26,0,3,550360.3540736961
26,0,4,559574.4711130229
26,0,5,575460.406816792
26,0,6,577761.2437229499
26,0,7,597994.6585178076
26,0,8,605687.649505493
26,0,9,606382.4682843211
26,0,10,588559.0549678861
26,0,11,560933.1770698247
26,0,12,541774.1375552214
26,0,13,525359.8815324667
26,0,14,514579.1305373234
26,1,0,539639.5613690667
26,1,1,552743.9847711376
26,1,2,556766.179555805
26,1,3,564921.4925892602
26,1,4,573643.1191988294
26,1,5,590710.4558374404
26,1,6,589804.0733544488
26,1,7,605673.4972890618
26,1,8,607705.1013272273
26,1,9,600922.867594096
26,1,10,571769.1671146413
26,1,11,522619.43492859014
26,1,12,487845.57386277866
26,1,13,455220.7534796957
26,1,14,429468.1072290549
26,2,0,17.219762801859723
26,2,1,69.8975276476393
26,2,2,156.99356121215143
26,2,3,280.74048359590955
26,2,4,441.55674183463464
26,2,5,1472.150473721719
26,2,6,3992.4247256920016
26,2,7,7976.270055699398
26,2,8,12940.744887023915
26,2,9,18496.076518048852
26,2,10,27091.637243320936
26,2,11,39407.747878768874
26,2,12,54775.530498893444
26,2,13,70597.03614570042
26,2,14,86022.09954181657
27,0,0,490586.4992097232
27,0,1,517473.4682462255
27,0,2,533789.5453126645
27,0,3,538127.0215195296
27,0,4,546854.740948575
27,0,5,556402.2999368841
27,0,6,572439.6311403476
27,0,7,574861.007635766
27,0,8,595083.1546618835
27,0,9,602834.3399117201
27,0,10,603430.6015412416
27,0,11,585921.7336988631
27,0,12,559099.8214416526
27,0,13,540579.7943716993
27,0,14,524855.6019977651
27,1,0,506581.175710235
27,1,1,531167.330848775
27,1,2,547444.0368406952
27,1,3,552015.4925303039
27,1,4,560386.903650855
27,1,5,568588.7269337192
27,1,6,584241.2402468611
27,1,7,582248.3895997895
27,1,8,596860.6238552901
27,1,9,598107.5249186817
27,1,10,587381.9908905083
27,1,11,553356.9851511471
27,1,12,502756.7916427069
27,1,13,468074.68894259376
27,1,14,437030.3278390283
27,2,0,16.323959403527567
27,2,1,67.64764283711763
27,2,2,155.08922740883511
27,2,3,275.12005934128666
27,2,4,432.1370636094393
27,2,5,1425.0671128890963
27,2,6,3993.3161252658438
27,2,7,7764.312101157216
27,2,8,12880.493945802873
27,2,9,18643.13485223934
27,2,10,28066.98522733281
27,2,11,41884.18515074848
27,2,12,56523.89810191583
27,2,13,72665.01577546264
27,2,14,87756.8751538282
28,0,0,478613.4309839258
28,0,1,484083.4924043929
28,0,2,513212.0600307242
28,0,3,529914.4893320419
28,0,4,534452.1867261024
28,0,5,543538.349679691
28,0,6,553255.687874676
28,0,7,569404.2317885079
28,0,8,571832.1909296155
28,0,9,592104.1018619182
28,0,10,599745.4010354317
28,0,11,600660.4213598428
28,0,12,583993.901757192
28,0,13,557854.5296138225
28,0,14,540063.7121899248
28,1,0,494792.3029889094
28,1,1,498436.7822902251
28,1,2,525717.9430385896
28,1,3,542491.9643138167
28,1,4,547295.2916104173
28,1,5,555186.9706601758
28,1,6,562062.1437447271
28,1,7,576545.8995282338
28,1,8,573461.9110834631
28,1,9,587184.454212427
28,1,10,584421.741653657
28,1,11,568379.8375197327
28,1,12,532326.5574226626
28,1,13,482342.9555274336
28,1,14,449340.7817409898
28,2,0,16.23801511719163
28,2,1,64.50454613193938
28,2,2,150.8977114492041
28,2,3,273.1885780050046
28,2,4,425.4769625953938
28,2,5,1397.775931778429
28,2,6,3859.8996536162276
28,2,7,7740.799015995581
28,2,8,12488.419187222331
28,2,9,18491.56237967
28,2,10,28172.47321701711
28,2,11,43263.79118716721
28,2,12,60014.41355146069
28,2,13,74967.40105921417
28,2,14,90327.59103873436
29,0,0,472684.8912968273
29,0,1,471723.911957663
29,0,2,479354.017751314
29,0,3,508732.78167588025
29,0,4,525510.7062068481
29,0,5,530411.065050361
29,0,6,539640.8880848556
29,0,7,549461.4811687232
29,0,8,565568.7791090696
29,0,9,568060.9989499893
29,0,10,588168.4369288771
29,0,11,596224.5979164139
29,0,12,598243.5154878483
29,0,13,582475.5744040709
29,0,14,557316.288922464
29,1,0,488786.528650578
29,1,1,485973.09867328446
29,1,2,492267.91934157495
29,1,3,519959.5087756924
29,1,4,536845.1637221513
29,1,5,541171.5427343431
29,1,6,547726.5761607531
29,1,7,553521.5792969242
29,1,8,566722.4197995756
29,1,9,562929.5616753357
29,1,10,572522.242045929
29,1,11,564415.8550296926
29,1,12,546026.230434786
29,1,13,510273.4448303362
29,1,14,462847.4203720784
29,2,0,16.24527922122758
29,2,1,63.77597630168434
29,2,2,143.28924326265556
29,2,3,265.19460253906755
29,2,4,421.96060861712454
29,2,5,1368.2145618575257
29,2,6,3771.265868221649
29,2,7,7455.460775254079
29,2,8,12402.807906923075
29,2,9,17852.803121470715
29,2,10,27840.484428430176
29,2,11,43320.23969579631
29,2,12,61942.19652013714
29,2,13,79611.65018162619
29,2,14,93232.9752017599
30,0,0,453045.63028262823
30,0,1,465812.5220379091
30,0,2,466833.7744313585
30,0,3,475001.79143606056
30,0,4,504470.62505954783
30,0,5,521584.8728923453
30,0,6,526604.1354340882
30,0,7,535903.0738023126
30,0,8,545650.1878485852
30,0,9,561782.9963852027
30,0,10,564092.844023818
30,0,11,584603.8837953553
30,0,12,593786.0767670246
30,0,13,596713.805953096
30,0,14,581910.5998744476
30,1,0,469725.74716432224
30,1,1,480481.6940837847
30,1,2,479844.2505738924
30,1,3,486662.1129754811
30,1,4,514407.8890702588
30,1,5,530773.7623222435
30,1,6,533779.9432440366
30,1,7,539259.4495676464
30,1,8,543840.8155045137
30,1,9,556165.3588848979
30,1,10,548510.6874607712
30,1,11,552589.5600356752
30,1,12,541942.2880733799
30,1,13,523232.3713297172
30,1,14,489515.90454881033
30,2,0,15.68123053069622
30,2,1,63.465471691196214
30,2,2,140.88752419754172
30,2,3,250.6566777511451
30,2,4,408.27356964799367
30,2,5,1347.9371346981075
30,2,6,3684.568657567329
30,2,7,7280.141320500174
30,2,8,11937.289601304174
30,2,9,17716.752335505542
30,2,10,26877.525595060975
30,2,11,42828.14143861558
30,2,12,62060.18511726115
30,2,13,82241.00847244596
30,2,14,99081.31289816479
31,0,0,450673.49240929884
31,0,1,447786.1468014438
31,0,2,462499.1786292426
31,0,3,464125.17286009924
31,0,4,472611.8418938488
31,0,5,502469.4394310471
31,0,6,519795.19510140055
31,0,7,524958.6791398206
31,0,8,534285.9244920241
31,0,9,544065.1972128825
31,0,10,560127.1626150294
31,0,11,562577.2988338261
31,0,12,583464.3002126663
31,0,13,592937.9512936706
31,0,14,596044.1574171853
31,1,0,467178.2932311478
31,1,1,463865.0852770043
31,1,2,476591.26403817505
31,1,3,476443.3301095577
31,1,4,483547.67784840765
31,1,5,510922.0437848776
31,1,6,526113.8341238839
31,1,7,528145.3537188027
31,1,8,532641.3363480662
31,1,9,536484.7348090063
31,1,10,544842.7878100157
31,1,11,531805.8499319135
31,1,12,532259.9367914824
31,1,13,520256.8445783401
31,1,14,502116.8691806109
31,2,0,15.442124791628789
31,2,1,60.891790949380876
31,2,2,139.59470357800845
31,2,3,245.58810510641229
31,2,4,384.93027606345333
31,2,5,1299.919584083032
31,2,6,3636.523292332111
31,2,7,7139.61304117706
31,2,8,11710.653611222251
31,2,9,17130.647422546368
31,2,10,26825.719472253255
31,2,11,41534.81633381597
31,2,12,61517.75295240327
31,2,13,82510.30272393956
31,2,14,102366.31126753238
32,0,0,446403.4370292563
32,0,1,447243.4418291603
32,0,2,446875.48581884627
32,0,3,461607.37313023565
32,0,4,463301.560871084
32,0,5,472039.9474865799
32,0,6,501995.4094864983
32,0,7,519476.95972166135
32,0,8,524783.5347288006
32,0,9,534254.6404426787
32,0,10,544093.8037796962
32,0,11,560140.9235345537
32,0,12,562652.0172428827
32,0,13,583642.282055925
32,0,14,592901.3221962586
32,1,0,462875.0811161598
32,1,1,463213.9519748029
32,1,2,462479.1250540491
32,1,3,475270.8678736472
32,1,4,475314.7715205513
32,1,5,482108.87783864926
32,1,6,508298.33364539884
32,1,7,522490.4022535033
32,1,8,523762.0238576368
32,1,9,527691.2892245043
32,1,10,527883.755342116
32,1,11,530392.337679983
32,1,12,513911.65741736203
32,1,13,512313.97963414644
32,1,14,500161.68611279014
32,2,0,15.246059613300117
32,2,1,60.49749361481363
32,2,2,134.83391916661742
32,2,3,244.30264494304964
32,2,4,378.1470595355997
32,2,5,1229.8791549247917
32,2,6,3522.7434586205463
32,2,7,7078.956313094102
32,2,8,11538.546176284312
32,2,9,16884.292390716757
32,2,10,26052.2833381698
32,2,11,41581.519442604564
32,2,12,59748.079740370435
32,2,13,81852.31406511778
32,2,14,102737.08245884189
33,0,0,461968.5189060093
33,0,1,443316.78098341206
33,0,2,446639.24930145615
33,0,3,446258.408954862
33,0,4,460894.02146867727
33,0,5,462793.8870481061
33,0,6,471618.75940972177
33,0,7,501709.76442130026
33,0,8,519342.63535665197
33,0,9,524831.1810442758
33,0,10,534379.4170259865
33,0,11,544207.1205770585
33,0,12,560333.0150192168
33,0,13,563007.8685578896
33,0,14,583560.4733500622
33,1,0,479031.60612689785
33,1,1,459094.52028805553
33,1,2,461920.41703794146
33,1,3,461294.84098503646
33,1,4,474176.2032086653
33,1,5,473932.5622999175
33,1,6,479669.0653828495
33,1,7,504837.63289370155
33,1,8,518215.52299547056
33,1,9,519015.061454818
33,1,10,519386.7965909552
33,1,11,514059.2067353793
33,1,12,512717.1159533224
33,1,13,494887.0035418822
33,1,14,492553.35601305496
33,2,0,16.033374435082305
33,2,1,60.62783466607272
33,2,2,135.55151507445473
33,2,3,238.12355667661632
33,2,4,378.6760485009371
33,2,5,1219.9218275879716
33,2,6,3354.1853567477306
33,2,7,6889.347053819634
33,2,8,11481.909503919193
33,2,9,16684.032188710204
33,2,10,25716.428909844537
33,2,11,40402.13646881301
33,2,12,59801.36988537202
33,2,13,79453.4618370964
33,2,14,101815.45586296359
34,0,0,487059.69521692424
34,0,1,459224.11098958034
34,0,2,442494.2747800602
34,0,3,445674.96996243007
34,0,4,445225.37426957936
34,0,5,460074.9126289884
34,0,6,462143.7744908976
34,0,7,471183.3285846725
34,0,8,501448.8809072517
34,0,9,519279.4789012112
34,0,10,524870.9998329942
34,0,11,534429.5210447373
34,0,12,544343.8325091774
34,0,13,560613.8814872431
34,0,14,562465.391153206
34,1,0,505201.2355976976
34,1,1,475421.95968854974
34,1,2,457691.29016016546
34,1,3,460512.67964601546
34,1,4,460000.6710452052
34,1,5,472557.56671833846
34,1,6,471327.01893644256
34,1,7,476239.63288616284
34,1,8,500538.8237865233
34,1,9,513333.69207537593
34,1,10,510673.3816515152
34,1,11,505619.492180302
34,1,12,496778.7457651331
34,1,13,493550.979150688
34,1,14,475307.58683947264
34,2,0,17.238315540952293
34,2,1,63.950923246903706
34,2,2,136.41592907446747
34,2,3,240.58659809473977
34,2,4,370.8628924808346
34,2,5,1230.7709211224826
34,2,6,3337.2210088632173
34,2,7,6573.490270816744
34,2,8,11196.939649014805
34,2,9,16631.74400779837
34,2,10,25431.6554527726
34,2,11,39898.11037597558
34,2,12,58126.30332775342
34,2,13,79523.02250939798
34,2,14,98734.29837302708
35,0,0,507716.0594053831
35,0,1,483591.19698680606
35,0,2,458436.09930214024
35,0,3,441445.6422782535
35,0,4,444510.9192394653
35,0,5,444344.18992307875
35,0,6,459368.33533201815
35,0,7,461655.6320246166
35,0,8,470858.3637846817
35,0,9,501246.9820012866
35,0,10,519140.12192342716
35,0,11,524740.4984901348
35,0,12,534333.1529583798
35,0,13,544304.650842932
35,0,14,559142.0247838504
35,1,0,527256.6536947794
35,1,1,501297.28626520815
35,1,2,474124.6181529628
35,1,3,456165.9723736015
35,1,4,458958.19852119026
35,1,5,458150.4566440608
35,1,6,469669.63843412866
35,1,7,467662.0361877742
